,accelerometer_X,accelerometer_Y,accelerometer_Z,activity
0,0.411803,6.229712999999999,7.302314999999999,idle
1,-0.402226,7.158664,6.469133,idle
2,0.488417,6.502651999999999,7.70933,idle
3,0.21069,6.947974,6.574478,idle
4,0.0957679999999999,6.33027,6.943185000000001,idle
5,-0.014365,6.229712999999999,6.933608,idle
6,0.54109,6.464345,8.365341,idle
7,0.483629,5.348647,8.30788,idle
8,-0.268151,6.497864,6.44998,idle
9,-0.8379709999999999,7.321469,6.588842999999999,idle
10,0.306458,4.922479,7.857769999999999,idle
11,-0.536301,5.214572,8.331822,idle
12,-1.015141,5.114015,7.857769999999999,idle
13,0.301669,5.683835,7.402872,idle
14,0.344765,5.798757,8.044518,idle
15,0.1005559999999999,5.784392,7.733272,idle
16,0.483629,5.750873,7.685388,idle
17,0.981623,6.277597,6.2153480000000005,idle
18,1.5370780000000002,6.21056,8.561666,idle
19,1.977611,7.244855,5.477933999999999,idle
20,3.131616,5.530606,7.747636999999999,idle
21,2.5187,-0.8379709999999999,11.310209,idle
22,0.2585739999999999,1.56102,9.706094,idle
23,0.311246,-0.071826,9.773131,idle
24,0.220267,-0.071826,9.768343,idle
25,0.263362,-0.0957679999999999,9.763555,idle
26,0.124498,-0.0239419999999999,9.77792,idle
27,0.268151,-0.114922,9.792285,idle
28,0.23942,-0.086191,9.77792,idle
29,0.234632,-0.11971,9.77792,idle
30,0.488417,6.502651999999999,7.70933,idle
31,0.21069,6.947974,6.574478,idle
32,0.0957679999999999,6.33027,6.943185000000001,idle
33,-0.014365,6.229712999999999,6.933608,idle
34,0.54109,6.464345,8.365341,idle
35,0.483629,5.348647,8.30788,idle
36,-0.268151,6.497864,6.44998,idle
37,-0.8379709999999999,7.321469,6.588842999999999,idle
38,0.306458,4.922479,7.857769999999999,idle
39,-0.536301,5.214572,8.331822,idle
40,-1.015141,5.114015,7.857769999999999,idle
41,0.301669,5.683835,7.402872,idle
42,0.344765,5.798757,8.044518,idle
43,0.1005559999999999,5.784392,7.733272,idle
44,0.483629,5.750873,7.685388,idle
45,0.981623,6.277597,6.2153480000000005,idle
46,1.5370780000000002,6.21056,8.561666,idle
47,1.977611,7.244855,5.477933999999999,idle
48,3.131616,5.530606,7.747636999999999,idle
49,2.5187,-0.8379709999999999,11.310209,idle
50,0.2585739999999999,1.56102,9.706094,idle
51,0.311246,-0.071826,9.773131,idle
52,0.220267,-0.071826,9.768343,idle
53,0.263362,-0.0957679999999999,9.763555,idle
54,0.124498,-0.0239419999999999,9.77792,idle
55,0.268151,-0.114922,9.792285,idle
56,0.23942,-0.086191,9.77792,idle
57,0.234632,-0.11971,9.77792,idle
58,0.272939,-0.0909799999999999,9.753978,idle
59,0.2585739999999999,-0.081403,9.734824,idle
60,-0.110133,-0.124498,9.753978,idle
61,-0.0909799999999999,-0.215478,9.773131,idle
62,-0.076614,-0.11971,9.792285,idle
63,-0.1292869999999999,-0.124498,9.758766,idle
64,-0.134075,-0.143652,9.758766,idle
65,-0.0909799999999999,-0.110133,9.768343,idle
66,-0.086191,-0.1292869999999999,9.739613,idle
67,-0.124498,-0.1292869999999999,9.758766,idle
68,-0.1005559999999999,-0.134075,9.763555,idle
69,-0.1005559999999999,-0.134075,9.763555,idle
70,-0.071826,-0.110133,9.773131,idle
71,-0.11971,-0.134075,9.744401,idle
72,-0.052672,-0.11971,9.773131,idle
73,-0.158017,-0.124498,9.763555,idle
74,-0.368707,-0.234632,9.734824,idle
75,-2.901772,-1.776498,9.275137,idle
76,-0.7230489999999999,-0.02873,9.581595,idle
77,-0.0239419999999999,0.0909799999999999,5.396531,idle
78,-0.0909799999999999,0.21069,9.787497,idle
79,-0.11971,0.1819589999999999,9.734824,idle
80,-0.076614,0.21069,9.739613,idle
81,-0.067038,0.21069,9.77792,idle
82,-0.1005559999999999,0.220267,9.753978,idle
83,-0.110133,0.215478,9.945514,idle
84,-0.1292869999999999,0.263362,9.758766,idle
85,-0.110133,0.272939,9.734824,idle
