,accelerometer_X,accelerometer_Y,accelerometer_Z,activity
0,2.322376,3.643975,11.827356,walking
1,1.781286,4.668694,6.14831,walking
2,7.963114999999999,-4.113238,1.359907,walking
3,1.996764,-1.3982139999999998,1.163582,walking
4,5.185841,-12.143391,4.6878470000000005,walking
5,11.219229,-10.625467,-8.087613000000001,walking
6,10.888829,-13.939042,-1.273715,walking
7,9.902418,-9.667787,-0.110133,walking
8,8.09719,-20.9349,1.393425,walking
9,5.655105000000001,-11.573571,-1.106121,walking
10,12.363658,-18.253393,-21.44247,walking
11,5.171476,-9.169792,0.407014,walking
12,-1.92015,-3.648763,0.244209,walking
13,0.11971,-7.819463000000001,0.234632,walking
14,4.908114,-11.271901,-2.561796,walking
15,0.363919,-15.289372,-1.977611,walking
16,5.0757080000000006,-10.682928,-1.565808,walking
17,-2.097321,-13.431472,4.252103,walking
18,4.563349,-10.31901,0.45011,walking
19,0.8379709999999999,-5.544971,-1.441309,walking
20,2.5378540000000003,-8.408437,0.277727,walking
21,2.494758,-5.980716,2.312799,walking
22,-2.351106,-14.432248,-0.972046,walking
23,6.540959,-10.903194,-2.03986,walking
24,5.214572,-10.749966,-6.234501,walking
25,4.644751,-12.392388,-1.211466,walking
26,5.923255,-13.977348999999998,-7.785944000000001,walking
27,5.33907,-9.495404,0.632069,walking
28,-2.389413,-4.831499,0.938527,walking
29,-0.21069,-8.872911,0.0430959999999999,walking
30,4.563349,-10.31901,0.45011,walking
31,0.8379709999999999,-5.544971,-1.441309,walking
32,2.5378540000000003,-8.408437,0.277727,walking
33,2.494758,-5.980716,2.312799,walking
34,-2.351106,-14.432248,-0.972046,walking
35,6.540959,-10.903194,-2.03986,walking
36,5.214572,-10.749966,-6.234501,walking
37,4.644751,-12.392388,-1.211466,walking
38,5.923255,-13.977348999999998,-7.785944000000001,walking
39,5.33907,-9.495404,0.632069,walking
40,-2.389413,-4.831499,0.938527,walking
41,-0.21069,-8.872911,0.0430959999999999,walking
42,1.7573439999999998,-12.737153,-2.384625,walking
43,0.162806,-2.15957,19.589357,walking
44,3.974375,-12.349293,-2.097321,walking
45,7.527369999999999,-20.058622,-16.682798000000002,walking
46,0.6608,-9.65821,-0.995988,walking
47,-1.264138,-2.442086,1.407791,walking
48,-2.964022,-9.203311,-0.967257,walking
49,-1.556231,-3.122039,1.958457,walking
50,-4.721366000000001,-8.781932000000001,0.311246,walking
51,-5.837064,-17.606958,-0.02873,walking
52,-2.542642,3.423709,21.648373,walking
53,4.276045,-13.618219,0.1723829999999999,walking
54,2.767697,-19.268536,-26.3027,walking
55,-0.871489,-9.80665,-3.428497,walking
56,-1.599327,-3.878607,3.246538,walking
57,-5.152322,-9.255983,-1.23062,walking
58,-9.504981,-17.650055,-0.7661439999999999,walking
59,-3.045424,-8.494628,-0.8236049999999999,walking
60,0.009577,-13.235147,-3.557784,walking
61,-2.992752,-13.637373,-8.944737,walking
62,-0.670376,-10.611102,-1.091756,walking
63,-2.3606830000000003,-1.594538,2.011129,walking
64,-2.331952,-7.671022,-0.35913,walking
65,-4.395754,-11.573571,-2.03986,walking
66,-9.993398,1.580173,-11.587936,walking
67,-3.409343,-13.158532,-3.677494,walking
68,-14.159308,-18.11453,-20.077776,walking
69,-3.007117,-7.541735000000001,0.799663,walking
70,-2.351106,-3.744531,2.513912,walking
71,-1.517924,-8.513782,0.8523360000000001,walking
72,1.278504,-8.872911,0.0430959999999999,walking
73,-1.656788,-10.941502,0.8619129999999999,walking
74,-3.969586,-13.354857,-3.083732,walking
75,-1.613692,-9.672575,-5.133168,walking
76,-0.991199,-9.667787,-1.177947,walking
77,-2.097321,0.292093,2.767697,walking
78,-5.655104,-6.488286,-0.933739,walking
79,-7.345411,-12.717999,-1.838747,walking
80,0.555455,-10.874464,23.582888,walking
81,-9.155427,-11.654974,-1.388637,walking
82,-6.660669,5.214572,-2.8155810000000003,walking
83,-1.848324,-12.65575,-3.65834,walking
84,-7.278372999999999,-14.686032999999998,-10.065224,walking
85,-3.5960910000000004,-9.016563,-1.484405,walking
86,-2.37026,-1.192312,3.055001,walking
87,-5.473145,-6.517017,-0.713472,walking
88,-5.061342,-11.808203,-2.5378540000000003,walking
89,-2.743755,1.244985,-0.440533,walking
90,0.80924,-15.897499,-1.666364,walking
91,-3.356671,-13.153744,-12.804191,walking
92,1.426944,-5.262455,-0.651223,walking
93,-0.263362,-6.019023000000001,1.235408,walking
94,-4.352658,-9.32781,0.713472,walking
95,-3.955221,-16.49605,3.438074,walking
96,-2.705448,-7.436389999999999,1.383849,walking
97,-4.577713,-17.645266,1.944092,walking
98,7.192182000000001,-25.201366,-16.903064999999998,walking
99,1.575385,-10.620679,1.58975,walking
100,-0.02873,-5.425261,0.8236049999999999,walking
